Tinh/Thanh pho,Quan/Huyen,Du an,Đia chi,Vi do,Kinh do,Dien tich (m2),So phong ngu,So phong ve sinh,So tang,Duong vao,Mat tien,Huong nha,Huong ban cong,Noi that,Phap ly,Khoang cach toi trung tam (Km),Gia (Tỷ VND)
Hồ Chí Minh,Phú Nhuận,Căn hộ Orchard Park View,"Orchard Park View, 130, Đường Hồng Hà, Phường 9, Phú Nhuận, Hồ Chí Minh",10.809240,106.672325,55.000000,2.000000,1.000000,,,,,,Đầy đủ,Hợp đồng mua bán,4.844414,3.600000
Hồ Chí Minh,Quận 7,Riverpark Premier,"Dự án Riverpark Premier, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.721448,106.712219,123.000000,3.000000,2.000000,,,,,,,Sổ đỏ/ Sổ hồng,6.141077,12.000000
Hồ Chí Minh,Tân Bình,Sky Center,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",10.806016,106.666458,139.000000,3.000000,2.000000,,,,,,,,5.039237,6.200000
Hồ Chí Minh,Tân Bình,Sky Center,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",10.806016,106.666458,75.000000,2.000000,2.000000,,,,,,,,5.039237,3.800000
Hồ Chí Minh,Phú Nhuận,Căn hộ Orchard Park View,"Orchard Park View, 130, Đường Hồng Hà, Phường 9, Phú Nhuận, Hồ Chí Minh",10.809240,106.672325,55.000000,2.000000,1.000000,,,,,,Đầy đủ,Hợp đồng mua bán,4.844414,3.600000
Hồ Chí Minh,Quận 7,Riverpark Premier,"Dự án Riverpark Premier, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.721448,106.712219,123.000000,3.000000,2.000000,,,,,,,Sổ đỏ/ Sổ hồng,6.141077,12.000000
Hồ Chí Minh,Tân Bình,Sky Center,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",10.806016,106.666458,139.000000,3.000000,2.000000,,,,,,,,5.039237,6.200000
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.804214,106.749519,50.000000,1.000000,1.000000,,,,,Đông - Bắc,,Hợp đồng mua bán,6.166630,5.980000
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.804214,106.749519,77.100000,2.000000,2.000000,,,,,,Cơ bản,Hợp đồng mua bán,6.166630,7.950000
Hồ Chí Minh,Quận 7,Riverpark Premier,"Dự án Riverpark Premier, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.721448,106.712219,123.800000,3.000000,2.000000,,,,,,,,6.141077,12.000000
Hồ Chí Minh,Quận 2,Masteri Thảo Điền,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.802690,106.741814,75.000000,2.000000,2.000000,,,,Tây - Bắc,Đông - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng,5.362870,5.500000
Hồ Chí Minh,Quận 9,Chung cư MT Eastmark City,"Dự án MT Eastmark City, Đường Trường Lưu, Phường Long Trường, Quận 9, Hồ Chí Minh",10.800768,106.821793,63.400000,1.000000,1.000000,,,,,,Cơ bản,Hợp đồng mua bán,13.497122,2.400000
Hồ Chí Minh,Quận 9,Vinhomes Grand Park,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841423,106.840118,47.000000,1.000000,1.000000,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng,16.856416,1.850000
Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",10.794929,106.720741,115.000000,3.000000,2.000000,,,,Tây - Nam,Đông - Bắc,,,3.021117,9.100000
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.804214,106.749519,96.000000,3.000000,2.000000,,,,,,Nội thất cao cấp chủ đầu tư bàn giao.,,6.166630,11.350000
Hồ Chí Minh,Tân Bình,Sky Center,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",10.806016,106.666458,75.000000,2.000000,2.000000,,,,,,,,5.039237,3.800000
Hồ Chí Minh,Phú Nhuận,Golden Mansion,"Dự án Golden Mansion, Đường Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh",10.808891,106.671284,100.000000,3.000000,2.000000,,,,,,,,4.889915,6.000000
Hồ Chí Minh,Quận 7,Riverpark Premier,"Dự án Riverpark Premier, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.721448,106.712219,123.000000,3.000000,2.000000,,,,,,,,6.141077,12.000000
Hồ Chí Minh,Quận 9,Masteri Centre Point,"Dự án Masteri Centre Point, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.835248,106.830223,75.000000,2.000000,2.000000,,,,,,Cơ bản,Đang chờ sổ,15.586535,4.700000
Hồ Chí Minh,Bình Thạnh,Saigon Pearl,"Dự án Saigon Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",10.790362,106.718391,135.000000,3.000000,2.000000,,,,,,,,2.490986,8.500000
Hồ Chí Minh,Quận 2,,"Phường An Phú, Quận 2, Hồ Chí Minh",10.798809,106.756848,105.000000,2.000000,2.000000,,,,,,Cơ bản,Hợp đồng mua bán,6.616955,8.400000
Hồ Chí Minh,Quận 2,,"Phường An Phú, Quận 2, Hồ Chí Minh",10.798809,106.756848,150.000000,3.000000,2.000000,,,,,,Cơ bản,Hợp đồng mua bán,6.616955,11.250000
Hồ Chí Minh,Quận 9,The Beverly Solari - Vinhomes Grand Park,"Dự án The Beverly Solari - Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.839660,106.851036,61.600000,2.000000,2.000000,,,,Tây - Bắc,Đông - Nam,Cơ bản,Hợp đồng mua bán,17.863565,2.540000
Hồ Chí Minh,Quận 9,The Beverly Solari - Vinhomes Grand Park,"Dự án The Beverly Solari - Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.839660,106.851036,48.400000,1.000000,1.000000,,,,,,Cơ bản,Hợp đồng mua bán,17.863565,1.980000
Hồ Chí Minh,Quận 9,The Beverly Solari - Vinhomes Grand Park,"Dự án The Beverly Solari - Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.839660,106.851036,47.000000,1.000000,1.000000,,,,,,Cơ bản,Hợp đồng mua bán,17.863565,2.300000
Hồ Chí Minh,Quận 9,The Rainbow - Vinhomes Grand Park,"Dự án The Rainbow - Vinhomes Grand Park, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.837009,106.838989,46.000000,2.000000,1.000000,,,,Đông - Nam,,,Sổ đỏ/ Sổ hồng,16.539500,2.300000
Hồ Chí Minh,Quận 9,The Beverly Solari - Vinhomes Grand Park,"Dự án The Beverly Solari - Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.839660,106.851036,48.000000,1.000000,1.000000,,,,,,Cơ bản,Hợp đồng mua bán,17.863565,2.530000
Hồ Chí Minh,Quận 9,The Origami - Vinhomes Grand Park,"Dự án The Origami, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841276,106.838600,47.000000,1.000000,1.000000,,,,Đông - Nam,,Cơ bản.,Hợp đồng mua bán,16.699653,2.000000
Hồ Chí Minh,Quận 6,D-Homme,"Dự án D-Homme, Đường Hồng Bàng, Phường 6, Quận 6, Hồ Chí Minh",10.755263,106.639366,100.000000,3.000000,3.000000,,,,Đông - Bắc,Tây - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng,7.113090,7.000000
Hồ Chí Minh,Gò Vấp,,"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",10.843482,106.650494,40.000000,2.000000,1.000000,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng,9.298422,1.200000
Hồ Chí Minh,Quận 7,The Signature,"Dự án The Signature, Phường Tân Phú, Quận 7, Hồ Chí Minh",10.722603,106.728035,81.000000,2.000000,2.000000,,,,,,,Sổ đỏ/ Sổ hồng,6.590703,6.450000
Hồ Chí Minh,Quận 9,Vinhomes Grand Park,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841423,106.840118,47.000000,1.000000,1.000000,,,,,,,Sổ đỏ/ Sổ hồng,16.856416,2.000000
Hồ Chí Minh,Quận 9,Vinhomes Grand Park,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841423,106.840118,47.000000,1.000000,1.000000,,,,,,,Sổ đỏ/ Sổ hồng,16.856416,2.000000
Hồ Chí Minh,Quận 2,Diamond Island,"Dự án Diamond Island, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",10.778997,106.747192,117.000000,3.000000,2.000000,,,,,,Đầy đủ,Hợp đồng mua bán,5.066110,10.700000
Hồ Chí Minh,Quận 2,One Verandah Mapletree,"Dự án One Verandah Mapletree, Đường Bát Nàn, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",10.776952,106.751900,108.000000,3.000000,2.000000,,,,Đông - Nam,Tây - Bắc,Cơ bản,Hợp đồng mua bán,5.570285,7.880000
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.804214,106.749519,50.000000,1.000000,1.000000,,,,,Đông - Bắc,,Hợp đồng mua bán,6.166630,5.980000
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.804214,106.749519,77.100000,2.000000,2.000000,,,,,,Cơ bản,Hợp đồng mua bán,6.166630,7.950000
Hồ Chí Minh,Quận 7,Riverpark Premier,"Dự án Riverpark Premier, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.721448,106.712219,123.800000,3.000000,2.000000,,,,,,,,6.141077,12.000000
Hồ Chí Minh,Quận 2,Masteri Thảo Điền,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.802690,106.741814,75.000000,2.000000,2.000000,,,,Tây - Bắc,Đông - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng,5.362870,5.500000
Hồ Chí Minh,Quận 9,Chung cư MT Eastmark City,"Dự án MT Eastmark City, Đường Trường Lưu, Phường Long Trường, Quận 9, Hồ Chí Minh",10.800768,106.821793,63.400000,1.000000,1.000000,,,,,,Cơ bản,Hợp đồng mua bán,13.497122,2.400000
Hồ Chí Minh,Quận 9,Vinhomes Grand Park,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841423,106.840118,47.000000,1.000000,1.000000,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng,16.856416,1.850000
Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",10.794929,106.720741,115.000000,3.000000,2.000000,,,,Tây - Nam,Đông - Bắc,,,3.021117,9.100000
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.804214,106.749519,96.000000,3.000000,2.000000,,,,,,Nội thất cao cấp chủ đầu tư bàn giao.,,6.166630,11.350000
Hồ Chí Minh,Quận 2,PetroVietnam Landmark,"Dự án PetroVietnam Landmark, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",10.796919,106.750618,102.000000,2.000000,2.000000,,,,,,Đầy đủ,Hợp đồng mua bán,5.907979,6.630000
Hồ Chí Minh,Quận 1,Vinhomes Golden River Ba Son,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",10.784106,106.703651,91.000000,2.000000,2.000000,,,,,Nam,Cơ bản,Sổ đỏ/ Sổ hồng,0.959552,16.800000
Hồ Chí Minh,Quận 2,One Verandah Mapletree,"Dự án One Verandah Mapletree, Đường Bát Nàn, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",10.776952,106.751900,55.000000,1.000000,1.000000,,,,Tây - Bắc,Đông - Nam,Cơ bản,Sổ đỏ/ Sổ hồng,5.570285,4.300000
Hồ Chí Minh,Bình Thạnh,The Landmark 81 - Vinhomes Central Park,"Dự án The Landmark 81, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",10.799132,106.719666,78.000000,2.000000,2.000000,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng,3.288155,11.000000
Hồ Chí Minh,Quận 7,The Antonia,"Dự án The Antonia, Đường Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Hồ Chí Minh",10.720570,106.726906,81.000000,2.000000,2.000000,,,,,,Cơ bản,Hợp đồng mua bán,6.739527,6.500000
Hồ Chí Minh,Quận 7,Tulip Tower,"Tulip Tower, 15, Đường Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Hồ Chí Minh",10.714391,106.737495,79.000000,2.000000,2.000000,,,,,,,Hợp đồng mua bán,7.883940,2.300000
Hồ Chí Minh,Tân Phú,Celadon City,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",10.803905,106.616684,86.000000,2.000000,2.000000,,,,,,Cơ bản,Hợp đồng mua bán,9.727629,5.600000
Hồ Chí Minh,Bình Thạnh,Sunwah Pearl,"Sunwah Pearl, 90, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",10.789627,106.717667,110.000000,2.000000,2.000000,,,,,,,Sổ đỏ/ Sổ hồng,2.377983,14.800000
Hồ Chí Minh,Quận 9,Fuji Residence,"Dự án Fuji Residence, Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh",10.813309,106.784683,55.000000,2.000000,1.000000,,,,,,Cơ bản,Sổ hồng,10.048287,1.900000
Hồ Chí Minh,Quận 9,Fuji Residence,"Dự án Fuji Residence, Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh.",10.813309,106.784683,68.000000,2.000000,2.000000,,,,Tây - Bắc,Đông - Nam,,Hợp đồng mua bán.,10.048287,2.750000
Hồ Chí Minh,Bình Tân,Green Town Bình Tân,"Dự án Green Town Bình Tân, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",10.807793,106.593430,68.000000,2.000000,2.000000,,,,,,Đầy đủ,,12.281653,2.150000
Hồ Chí Minh,Quận 2,Diamond Island,"Dự án Diamond Island, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",10.778997,106.747192,90.000000,2.000000,2.000000,,,,Đông - Nam,Tây - Bắc,Đầy đủ,Hợp đồng mua bán,5.066110,7.500000
Hồ Chí Minh,Tân Phú,Emerald - Celadon City,"Dự án Emerald - Celadon City, Đường N4, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",21.026758,105.841194,130.600000,3.000000,3.000000,,,,,,,,1138.086401,5.450000
Hồ Chí Minh,Gò Vấp,Sunny Plaza,"Sunny Plaza, 110A, Đường Phạm Văn Đồng, Phường 3, Gò Vấp, Hồ Chí Minh",10.814560,106.682907,117.000000,3.000000,2.000000,,,,,,,,4.716744,5.100000
Hồ Chí Minh,Quận 9,The Art,"Dự án The Art, Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh",10.813986,106.775230,70.000000,2.000000,2.000000,,,,,,Nội thất cơ bản.,Có sổ.,9.150778,2.800000
Hồ Chí Minh,Quận 7,Căn hộ Florita,"Dự án Căn hộ Florita, Đường D1, Phường Tân Hưng, Quận 7, Hồ Chí Minh",10.744828,106.695150,80.000000,2.000000,2.000000,,,,Đông,,Cơ bản,Đang chờ sổ,3.489439,3.800000
Hồ Chí Minh,Nhà Bè,Khải Hoàn Prime,"Dự án Khải Hoàn Prime, Đường Lê Văn Lương, Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh",10.705109,106.703522,46.000000,1.000000,1.000000,,,,,,Cơ bản,Sổ đỏ/ Sổ hồng,7.829063,2.100000
Hồ Chí Minh,Quận 9,The Art,"Dự án The Art, Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh",10.813986,106.775230,70.000000,2.000000,2.000000,,,,,,Nội thất cơ bản.,Có sổ.,9.150778,2.800000
Hồ Chí Minh,Quận 7,Căn hộ Florita,"Dự án Căn hộ Florita, Đường D1, Phường Tân Hưng, Quận 7, Hồ Chí Minh",10.744828,106.695150,80.000000,2.000000,2.000000,,,,Đông,,Cơ bản,Đang chờ sổ,3.489439,3.800000
Hồ Chí Minh,Nhà Bè,Khải Hoàn Prime,"Dự án Khải Hoàn Prime, Đường Lê Văn Lương, Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh",10.705109,106.703522,46.000000,1.000000,1.000000,,,,,,Cơ bản,Sổ đỏ/ Sổ hồng,7.829063,2.100000
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.804214,106.749519,50.000000,1.000000,1.000000,,,,,Đông - Bắc,,Hợp đồng mua bán,6.166630,5.980000
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.804214,106.749519,77.100000,2.000000,2.000000,,,,,,Cơ bản,Hợp đồng mua bán,6.166630,7.950000
Hồ Chí Minh,Quận 7,Riverpark Premier,"Dự án Riverpark Premier, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.721448,106.712219,123.800000,3.000000,2.000000,,,,,,,,6.141077,12.000000
Hồ Chí Minh,Quận 2,Masteri Thảo Điền,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.802690,106.741814,75.000000,2.000000,2.000000,,,,Tây - Bắc,Đông - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng,5.362870,5.500000
Hồ Chí Minh,Quận 9,Chung cư MT Eastmark City,"Dự án MT Eastmark City, Đường Trường Lưu, Phường Long Trường, Quận 9, Hồ Chí Minh",10.800768,106.821793,63.400000,1.000000,1.000000,,,,,,Cơ bản,Hợp đồng mua bán,13.497122,2.400000
Hồ Chí Minh,Quận 9,Vinhomes Grand Park,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841423,106.840118,47.000000,1.000000,1.000000,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng,16.856416,1.850000
Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",10.794929,106.720741,115.000000,3.000000,2.000000,,,,Tây - Nam,Đông - Bắc,,,3.021117,9.100000
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.804214,106.749519,96.000000,3.000000,2.000000,,,,,,Nội thất cao cấp chủ đầu tư bàn giao.,,6.166630,11.350000
Hồ Chí Minh,Quận 2,PetroVietnam Landmark,"Dự án PetroVietnam Landmark, Quận 2, Hồ Chí Minh",10.796919,106.750618,105.000000,2.000000,2.000000,,,,,,Đầy đủ,Hợp đồng mua bán,5.907979,7.880000
Hồ Chí Minh,Bình Chánh,HQC Plaza,"Dự án HQC Plaza, Đường Nguyễn Văn Linh, Xã An Phú Tây, Bình Chánh, Hồ Chí Minh",10.693624,106.609383,54.000000,2.000000,2.000000,,,,,,Nội thất cơ bản.,,13.531332,0.870000
Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,"Dự án Vinhomes Central Park, Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Hồ Chí Minh",10.794929,106.720740,110.000000,3.000000,2.000000,,,,Tây - Bắc,Đông - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng,3.021052,9.600000
Hồ Chí Minh,Quận 7,Tulip Tower,"Tulip Tower, 15, Đường Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Hồ Chí Minh",10.714391,106.737495,79.000000,2.000000,2.000000,,,,,,,Hợp đồng mua bán,7.883940,2.300000
Hồ Chí Minh,Quận 7,An Gia Riverside,"Dự án An Gia Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",10.712963,106.743263,115.000000,3.000000,2.000000,,,,,Đông - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng,8.352597,5.200000
Hồ Chí Minh,Quận 9,Flora Anh Đào,"Dự án Flora Anh Đào, Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh",10.808705,106.776733,55.000000,2.000000,1.000000,,,,Tây - Bắc,Đông - Nam,Nội thất cơ bản.,Sổ đỏ/ Sổ hồng.,9.046924,1.850000
Hồ Chí Minh,Tân Bình,Sky Center,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",10.806016,106.666458,129.000000,3.000000,3.000000,,,,,,,,5.039237,6.000000
Hồ Chí Minh,Quận 10,Chung cư Ngô Gia Tự,"Dự án Chung cư Ngô Gia Tự, Phường 2, Quận 10, Hồ Chí Minh",10.762374,106.672134,70.000000,2.000000,2.000000,,,,Đông - Nam,Tây - Bắc,Cơ bản,Sổ đỏ/ Sổ hồng,3.489085,2.800000
Hồ Chí Minh,Quận 7,Hưng Vượng 1,"Dự án Hưng Vượng 1, Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.729572,106.709869,81.000000,2.000000,1.000000,,,,,,Full nội thất.,,5.209654,1.800000
Hồ Chí Minh,Quận 7,Hưng Vượng 2,"Dự án Hưng Vượng 2, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.730612,106.709641,89.000000,1.000000,1.000000,,,,Đông - Nam,,,,5.092020,3.500000
Hồ Chí Minh,Quận 7,Hưng Vượng 3,"Dự án Hưng Vượng 3, Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.729235,106.708458,97.000000,2.000000,2.000000,,,,,,,,5.219943,3.300000
Hồ Chí Minh,Quận 9,Flora Anh Đào,"Dự án Flora Anh Đào, Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh",10.808705,106.776733,67.000000,2.000000,2.000000,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng,9.046924,2.500000
Hồ Chí Minh,Quận 12,Hà Đô Riverside,"Dự án Hà Đô Riverside, Đường Lê Thị Riêng, Phường Thới An, Quận 12, Hồ Chí Minh",10.876283,106.654800,50.000000,2.000000,1.000000,,,,Nam,Bắc,Đầy đủ,Đang chờ sổ,12.203818,1.400000
Hồ Chí Minh,Bình Tân,Moonlight Boulevard,"Dự án Moonlight Boulevard, Đường Kinh Dương Vương, Phường An Lạc A, Bình Tân, Hồ Chí Minh.",10.741555,106.618706,79.000000,2.000000,2.000000,,,,Đông - Nam,Tây - Bắc,Đầy đủ Để lại toàn bộ nội thất cao cấp.,Hợp đồng mua bán,9.765474,3.300000
Hồ Chí Minh,Quận 7,Hưng Vượng 2,"Dự án Hưng Vượng 2, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.730612,106.709641,89.000000,1.000000,1.000000,,,,Đông - Nam,,,,5.092020,3.500000
Hồ Chí Minh,Quận 7,Hưng Vượng 3,"Dự án Hưng Vượng 3, Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.729235,106.708458,97.000000,2.000000,2.000000,,,,,,,,5.219943,3.300000
Hồ Chí Minh,Quận 9,Flora Anh Đào,"Dự án Flora Anh Đào, Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh",10.808705,106.776733,67.000000,2.000000,2.000000,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng,9.046924,2.500000
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.804214,106.749519,50.000000,1.000000,1.000000,,,,,Đông - Bắc,,Hợp đồng mua bán,6.166630,5.980000
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.804214,106.749519,77.100000,2.000000,2.000000,,,,,,Cơ bản,Hợp đồng mua bán,6.166630,7.950000
Hồ Chí Minh,Quận 7,Riverpark Premier,"Dự án Riverpark Premier, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.721448,106.712219,123.800000,3.000000,2.000000,,,,,,,,6.141077,12.000000
Hồ Chí Minh,Quận 2,Masteri Thảo Điền,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.802690,106.741814,75.000000,2.000000,2.000000,,,,Tây - Bắc,Đông - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng,5.362870,5.500000
Hồ Chí Minh,Quận 9,Chung cư MT Eastmark City,"Dự án MT Eastmark City, Đường Trường Lưu, Phường Long Trường, Quận 9, Hồ Chí Minh",10.800768,106.821793,63.400000,1.000000,1.000000,,,,,,Cơ bản,Hợp đồng mua bán,13.497122,2.400000
Hồ Chí Minh,Quận 9,Vinhomes Grand Park,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841423,106.840118,47.000000,1.000000,1.000000,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng,16.856416,1.850000
Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",10.794929,106.720741,115.000000,3.000000,2.000000,,,,Tây - Nam,Đông - Bắc,,,3.021117,9.100000
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.804214,106.749519,96.000000,3.000000,2.000000,,,,,,Nội thất cao cấp chủ đầu tư bàn giao.,,6.166630,11.350000
Hồ Chí Minh,Quận 12,Hà Đô Riverside,"Dự án Hà Đô Riverside, Đường Lê Thị Riêng, Phường Thới An, Quận 12, Hồ Chí Minh",10.876283,106.654800,50.000000,2.000000,1.000000,,,,Nam,Bắc,Đầy đủ,Đang chờ sổ,12.203818,1.400000
