Tinh/Thanh pho,Quan/Huyen,Du an,Đia chi,Vi do,Kinh do,Gia (VND),Dien tich (m2),So phong ngu,So phong ve sinh,So tang,Duong vao,Mat tien,Huong nha,Huong ban cong,Noi that,Phap ly
Hồ Chí Minh,Quận 7,An Gia Skyline,"Dự án An Gia Skyline, Đường Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Hồ Chí Minh",10.714329719543457,106.7414321899414,3100000000.0,68,2,,,,,,,,
Hồ Chí Minh,Tân Phú,Celadon City,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",10.803905487060547,106.61668395996094,5050000000.0,85,2,2,,,,,,,
Hồ Chí Minh,Quận 9,Safira Khang Điền,"Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.800097465515137,106.79257202148438,3160000000.0,67,2,2,,,,,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,Safira Khang Điền,"Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh.",10.8000974655151,106.792572021484,3250000000.0,67,2,2,,,,,,Cơ bản.,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.8042144775391,106.749519348145,5980000000.0,50,1,1,,,,,Đông - Bắc,,Hợp đồng mua bán
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.8042144775391,106.749519348145,7950000000.0,"77,1",2,2,,,,,,Cơ bản,Hợp đồng mua bán
Hồ Chí Minh,Quận 7,Riverpark Premier,"Dự án Riverpark Premier, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.721447944641113,106.71221923828125,12000000000.0,"123,8",3,2,,,,,,,
Hồ Chí Minh,Quận 2,Masteri Thảo Điền,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.8026895523071,106.741813659668,5500000000.0,75,2,2,,,,Tây - Bắc,Đông - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,Chung cư MT Eastmark City,"Dự án MT Eastmark City, Đường Trường Lưu, Phường Long Trường, Quận 9, Hồ Chí Minh",10.8007678985596,106.821792602539,2400000000.0,"63,4",1,1,,,,,,Cơ bản,Hợp đồng mua bán
Hồ Chí Minh,Quận 9,Vinhomes Grand Park,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841423034668,106.840118408203,1850000000.0,47,1,1,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,Masteri An Phú,"Dự án Masteri An Phú, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.80115032196045,106.73810577392578,5500000000.0,70,2,2,,,,,,Đầy đủ nội thất mới 100%.,Sổ hồng
Hồ Chí Minh,Quận 2,Empire City Thủ Thiêm,"Dự án Empire City Thủ Thiêm, Đường Mai Chí Thọ, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",10.7698259353638,106.716209411621,10400000000.0,92,2,2,,,,Bắc,Đông - Nam,Đầy đủ.,Hợp đồng mua bán.
Hồ Chí Minh,Nhà Bè,Saigon South Residences,"Dự án Saigon South Residences, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",10.721506616064,106.703427314759,3600000000.0,71,2,2,,,,,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,Masteri Thảo Điền,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.802689552307129,106.74181365966797,7000000000.0,95,3,2,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,The Sun Avenue,"Dự án The Sun Avenue, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",10.788448333740234,106.75196838378906,2500000000.0,51,1,1,,,,,,,Hợp đồng mua bán
Hồ Chí Minh,Quận 2,Masteri Thảo Điền,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.8026895523071,106.741813659668,4450000000.0,70,2,2,,,,Tây - Nam,Đông - Bắc,Đầy đủ,Đã có sổ
Hồ Chí Minh,Quận 7,Cardinal Court,"Dự án Cardinal Court, Phường Tân Phú, Quận 7, Hồ Chí Minh",10.727784156799316,106.72339630126953,7200000000.0,76,2,2,,,,Đông - Nam,Tây - Bắc,Đầy đủ,Hợp đồng mua bán
Hồ Chí Minh,Quận 2,Masteri An Phú,"Dự án Masteri An Phú, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.8011503219604,106.738105773926,11000000000.0,135,3,3,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,Masteri Thảo Điền,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.8026895523071,106.741813659668,6000000000.0,74,2,2,,,,Tây - Nam,Tây - Bắc,"Đầy đủ , cực đẹp",Đã có sổ
Hồ Chí Minh,Quận 2,Masteri Thảo Điền,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.802689552307129,106.74181365966797,6900000000.0,93,3,2,,,,Tây - Nam,Đông - Bắc,"Đầy đủ, đẹp.",Có sổ
Hồ Chí Minh,Quận 7,Sunshine Diamond River,"Dự án Sunshine Diamond River, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",10.7371501922607,106.740005493164,6870000000.0,116,2,2,,,,Đông - Nam,Tây - Bắc,Cơ bản,Hợp đồng mua bán
Hồ Chí Minh,Quận 2,Masteri Thảo Điền,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.8026895523071,106.741813659668,5000000000.0,70,2,2,,,,Đông - Nam,Tây - Bắc,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 8,,"Phường 7, Quận 8, Hồ Chí Minh",10.7081211113249,106.621443058435,1650000000.0,70,2,1,,,,,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Tân Bình,Park Legend,"Dự án Park Legend, Đường Hoàng Văn Thụ, Phường 2, Tân Bình, Hồ Chí Minh",10.800010681152344,106.66071319580078,6600000000.0,72,2,2,,,,,,Đầy đủ,Hợp đồng mua bán
Hồ Chí Minh,Quận 9,Kikyo Residence,"Dự án Kikyo Residence, Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh.",10.7965869903564,106.780616760254,2000000000.0,54,2,1,,,,,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,Vista Verde,"Dự án Vista Verde, Đường Phan Văn Đáng, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",10.776494979858398,106.7557601928711,17000000000.0,203,4,4,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Chánh,Sài Gòn Mia,"Dự án Sài Gòn Mia, Đường Số 9A, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",10.733746528625488,106.68962097167969,3600000000.0,70,2,2,,,,Tây,Bắc,Đầy đủ,Hợp đồng mua bán
Hồ Chí Minh,Tân Phú,Celadon City,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",10.803905487060547,106.61668395996094,5050000000.0,85,2,2,,,,,,,
Hồ Chí Minh,Quận 9,Safira Khang Điền,"Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.800097465515137,106.79257202148438,3160000000.0,67,2,2,,,,,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,Safira Khang Điền,"Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh.",10.8000974655151,106.792572021484,3250000000.0,67,2,2,,,,,,Cơ bản.,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.8042144775391,106.749519348145,5980000000.0,50,1,1,,,,,Đông - Bắc,,Hợp đồng mua bán
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.8042144775391,106.749519348145,7950000000.0,"77,1",2,2,,,,,,Cơ bản,Hợp đồng mua bán
Hồ Chí Minh,Quận 7,Riverpark Premier,"Dự án Riverpark Premier, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.721447944641113,106.71221923828125,12000000000.0,"123,8",3,2,,,,,,,
Hồ Chí Minh,Quận 2,Masteri Thảo Điền,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.8026895523071,106.741813659668,5500000000.0,75,2,2,,,,Tây - Bắc,Đông - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,Chung cư MT Eastmark City,"Dự án MT Eastmark City, Đường Trường Lưu, Phường Long Trường, Quận 9, Hồ Chí Minh",10.8007678985596,106.821792602539,2400000000.0,"63,4",1,1,,,,,,Cơ bản,Hợp đồng mua bán
Hồ Chí Minh,Quận 9,Vinhomes Grand Park,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841423034668,106.840118408203,1850000000.0,47,1,1,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,Estella Heights,"Dự án Estella Heights, 88 Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh",10.801277160644531,106.74858856201172,8600000000.0,59,1,1,,,,Nam,Bắc,Cơ bản,Hợp đồng mua bán
Hồ Chí Minh,Tân Bình,Sky Center,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",10.8060159683228,106.666458129883,4190000000.0000005,74,2,2,,,,,,Full nội thất như ảnh.,
Hồ Chí Minh,Bình Thạnh,Richmond City,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",10.81614112854,106.706199645996,3400000000.0,66,2,,,,,,,,
Hồ Chí Minh,Bình Thạnh,Richmond City,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",10.816141128540039,106.7061996459961,4500000000.0,86,3,,,,,,,,
Hồ Chí Minh,Bình Thạnh,Richmond City,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",10.81614112854,106.706199645996,3500000000.0,"66,78",2,,,,,,,,
Hồ Chí Minh,Bình Thạnh,Richmond City,"Dự án Richmond City, 79C Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",10.81614112854,106.706199645996,2049999999.9999998,52,1,1,,,,,,,Hợp đồng mua bán
Hồ Chí Minh,Bình Thạnh,Richmond City,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",10.81614112854,106.706199645996,2500000000.0,53,1,1,,,,,,,Hợp đồng mua bán
Hồ Chí Minh,Quận 2,The Sun Avenue,"Dự án The Sun Avenue, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",10.788448333740234,106.75196838378906,5580000000.0,75,2,2,,,,,,Đầy đủ,Hợp đồng mua bán
Hồ Chí Minh,Quận 8,Diamond Lotus Phúc Khang,"Dự án Diamond Lotus, Đường Lê Quang Kim, Phường 8, Quận 8, Hồ Chí Minh",10.7472829818726,106.676452636719,3450000000.0,58,2,1,,,,Tây - Bắc,Đông - Nam,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,Empire City Thủ Thiêm,"Dự án Empire City Thủ Thiêm, Đường Mai Chí Thọ, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",10.76982593536377,106.7162094116211,125000000000.0,380,,,,,,Tây - Bắc,,Full nội thất.,Hợp đồng mua bán.
Hồ Chí Minh,Quận 2,The Krista,"Dự án The Krista, Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",10.7904434204102,106.770309448242,3800000000.0,79,2,2,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Tân,Akari City Nam Long,"Akari City Nam Long, số 77, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh",10.7221174240112,106.611755371094,2950000000.0,75,2,2,,,,,,,
Hồ Chí Minh,Bình Tân,Akari City Nam Long,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh",10.72211742401123,106.61175537109375,3800000000.0,78,2,2,,,,,,"Bàn giao: + Full 100% sàn gỗ cao cấp. + Full thiết bị chiếu sáng. + Thiết bị vệ sinh cao cấp, vách tắm đứng. + Tủ bếp trên, dưới, 2 bếp từ - 1 hồng ngoại, máy hút mùi, lò nướng. + Tặng máy giặt và máy",
Hồ Chí Minh,Tân Phú,Căn hộ 8X Đầm Sen,"Dự án 8X Đầm Sen, Đường Tô Hiệu, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",10.76988410949707,106.6262435913086,1500000000.0,45,1,1,,,,,,Cơ bản,Hợp đồng mua bán
Hồ Chí Minh,Quận 7,Riverpark Residence,"Dự án Riverpark Residence, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.7261219024658,106.707420349121,13000000000.0,126,3,2,,,,Đông - Bắc,Tây - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 7,Riverpark Residence,"Dự án Riverpark Residence, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.7261219024658,106.707420349121,13000000000.0,126,3,2,,,,Đông - Bắc,Tây - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 7,The Signature,"Dự án The Signature, Phường Tân Phú, Quận 7, Hồ Chí Minh",10.7226028442383,106.728034973145,8600000000.0,105,3,2,,,,Tây - Bắc,Đông - Nam,Đầy đủ,Hợp đồng mua bán
Hồ Chí Minh,Quận 7,Midtown Phú Mỹ Hưng,"Dự án Midtown Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Hồ Chí Minh",10.724321365356445,106.72822570800781,10000000000.0,141,3,3,,,,,,Đầy đủ,Hợp đồng mua bán
Hồ Chí Minh,Tân Phú,Celadon City,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",10.803905487060547,106.61668395996094,5050000000.0,85,2,2,,,,,,,
Hồ Chí Minh,Quận 9,Safira Khang Điền,"Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.800097465515137,106.79257202148438,3160000000.0,67,2,2,,,,,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,Safira Khang Điền,"Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh.",10.8000974655151,106.792572021484,3250000000.0,67,2,2,,,,,,Cơ bản.,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.8042144775391,106.749519348145,5980000000.0,50,1,1,,,,,Đông - Bắc,,Hợp đồng mua bán
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.8042144775391,106.749519348145,7950000000.0,"77,1",2,2,,,,,,Cơ bản,Hợp đồng mua bán
Hồ Chí Minh,Quận 7,Riverpark Premier,"Dự án Riverpark Premier, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.721447944641113,106.71221923828125,12000000000.0,"123,8",3,2,,,,,,,
Hồ Chí Minh,Quận 2,Masteri Thảo Điền,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.8026895523071,106.741813659668,5500000000.0,75,2,2,,,,Tây - Bắc,Đông - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,Chung cư MT Eastmark City,"Dự án MT Eastmark City, Đường Trường Lưu, Phường Long Trường, Quận 9, Hồ Chí Minh",10.8007678985596,106.821792602539,2400000000.0,"63,4",1,1,,,,,,Cơ bản,Hợp đồng mua bán
Hồ Chí Minh,Quận 9,Vinhomes Grand Park,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841423034668,106.840118408203,1850000000.0,47,1,1,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Tân Bình,Sky Center,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",10.8060159683228,106.666458129883,1890000000.0,36,1,1,,,,,,,
Hồ Chí Minh,Quận 1,Vincom Center TP HCM,"Dự án Vincom Center TP HCM, Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh",10.778249740600586,106.7020263671875,38000000000.0,166,3,2,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,Homyland,"Dự án Homyland, Quận 2, Hồ Chí Minh",10.788062,106.76662,2730000000.0,92,,,,,,,,Cơ bản,Đang chờ sổ
Hồ Chí Minh,Quận 7,Star Hill,"Dự án Star Hill, Phường Tân Phú, Quận 7, Hồ Chí Minh.",10.730915069580078,106.72628021240234,6700000000.0,"94,5",3,2,,,,,,Đầy đủ để lại toàn bộ nội thất đẹp và đầy đủ như hình.,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Tân Phú,Căn hộ RichStar,"Dự án RichStar, Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",10.772315979003906,106.6255111694336,2500000000.0,65,2,2,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Tân Phú,Diamond Brilliant,"Dự án Diamond Brilliant, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",10.803988456726074,106.61737060546875,4790000000.0,96,2,2,,,,,,,
Hồ Chí Minh,Bình Chánh,Mizuki Park,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",10.7248125076294,106.664390563965,2550000000.0,56,2,1,,,,,,Đầy đủ,
Hồ Chí Minh,Quận 2,Eaton Park,"Dự án Eaton Park, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",10.79470157623291,106.75345611572266,8000000000.0,75,2,,,,,Đông - Bắc,Đông - Bắc,Cơ bản,Hợp đồng mua bán
Hồ Chí Minh,Bình Thạnh,Sunwah Pearl,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",10.7896270751953,106.717666625977,10200000000.0,106,2,2,,,,,,Cơ bản.,Đang chờ sổ.
Hồ Chí Minh,Tân Phú,Res Green Tower,"Dự án Res Green Tower, Đường Thoại Ngọc Hầu, Phường Hòa Thạnh, Tân Phú, Hồ Chí Minh",10.7824239730835,106.636817932129,3300000000.0,60,2,2,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Tân,Akari City Nam Long,"Akari City Nam Long, số 77, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh",10.72211742401123,106.61175537109375,2550000000.0,56,2,2,,,,,,Đầy đủ,Chờ sổ
Hồ Chí Minh,Quận 9,The Beverly - Vinhomes Grand Park,"Dự án The Beverly - Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.838515281677246,106.83345031738281,3000000000.0,54,,,,,,,,Cơ bản,
Hồ Chí Minh,Phú Nhuận,Newton Residence,"Newton Residence, 38, Đường Trương Quốc Dung, Phường 8, Phú Nhuận, Hồ Chí Minh",10.798207,106.67247,4700000000.0,75,2,2,,,,,,,
Hồ Chí Minh,Thủ Đức,Sunview Town,"Dự án Sunview Town, Đường Gò Dưa, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",10.8657083511353,106.727432250977,1800000000.0,58,2,2,,,,Tây - Bắc,,"Full nội thất như hình bao gồm: Tivi 40 inch, máy giặt 8kg, máy lạnh 2 cái, giường 2 tầng, giường 1m6 x 2m, sopha, bàn ăn 4 ghế, tủ giày, bếp điện...",Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,City Garden,"Dự án City Garden, Đường Ngô Tất Tố, Phường 21, Bình Thạnh, Hồ Chí Minh",10.7938871383667,106.71131134033203,6200000000.0,70,1,1,,,,Tây - Nam,Tây - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,The Beverly - Vinhomes Grand Park,"Dự án The Beverly - Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.838515281677246,106.83345031738281,3000000000.0,54,,,,,,,,Cơ bản,
Hồ Chí Minh,Phú Nhuận,Newton Residence,"Newton Residence, 38, Đường Trương Quốc Dung, Phường 8, Phú Nhuận, Hồ Chí Minh",10.798207,106.67247,4700000000.0,75,2,2,,,,,,,
Hồ Chí Minh,Thủ Đức,Sunview Town,"Dự án Sunview Town, Đường Gò Dưa, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",10.8657083511353,106.727432250977,1800000000.0,58,2,2,,,,Tây - Bắc,,"Full nội thất như hình bao gồm: Tivi 40 inch, máy giặt 8kg, máy lạnh 2 cái, giường 2 tầng, giường 1m6 x 2m, sopha, bàn ăn 4 ghế, tủ giày, bếp điện...",Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Tân Phú,Celadon City,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",10.803905487060547,106.61668395996094,5050000000.0,85,2,2,,,,,,,
Hồ Chí Minh,Quận 9,Safira Khang Điền,"Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.800097465515137,106.79257202148438,3160000000.0,67,2,2,,,,,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,Safira Khang Điền,"Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh.",10.8000974655151,106.792572021484,3250000000.0,67,2,2,,,,,,Cơ bản.,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.8042144775391,106.749519348145,5980000000.0,50,1,1,,,,,Đông - Bắc,,Hợp đồng mua bán
Hồ Chí Minh,Quận 2,Lumiere Riverside,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.8042144775391,106.749519348145,7950000000.0,"77,1",2,2,,,,,,Cơ bản,Hợp đồng mua bán
Hồ Chí Minh,Quận 7,Riverpark Premier,"Dự án Riverpark Premier, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.721447944641113,106.71221923828125,12000000000.0,"123,8",3,2,,,,,,,
Hồ Chí Minh,Quận 2,Masteri Thảo Điền,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.8026895523071,106.741813659668,5500000000.0,75,2,2,,,,Tây - Bắc,Đông - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,Chung cư MT Eastmark City,"Dự án MT Eastmark City, Đường Trường Lưu, Phường Long Trường, Quận 9, Hồ Chí Minh",10.8007678985596,106.821792602539,2400000000.0,"63,4",1,1,,,,,,Cơ bản,Hợp đồng mua bán
Hồ Chí Minh,Quận 9,Vinhomes Grand Park,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841423034668,106.840118408203,1850000000.0,47,1,1,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,City Garden,"Dự án City Garden, Đường Ngô Tất Tố, Phường 21, Bình Thạnh, Hồ Chí Minh",10.7938871383667,106.71131134033203,6200000000.0,70,1,1,,,,Tây - Nam,Tây - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Phú Nhuận,Golden Mansion,"Golden Mansion, 119, Đường Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh",10.8087224960327,106.670425415039,6800000000.0,103,3,2,,,,,Đông,Đầy đủ,Hợp đồng mua bán
Hồ Chí Minh,Nhà Bè,Orchid Park,"Dự án Orchid Park, Đường Nguyễn Lương Bằng, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",10.7211170196533,106.726448059082,1560000000.0,50,1,1,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,Zeit River Thủ Thiêm,"Dự án Zeit River Thủ Thiêm , Đường Nguyễn Cơ Thạch, Phường An Khánh, Quận 2, Hồ Chí Minh",10.7852153778076,106.729469299316,8000000000.0,60,1,1,,,,Đông - Nam,Tây - Bắc,Cơ bản,Hợp đồng mua bán
Hồ Chí Minh,Phú Nhuận,Golden Mansion,"Dự án Golden Mansion, Đường Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh",10.8087224960327,106.670425415039,5380000000.0,86,3,2,,,,,,Đầy đủ,
Hồ Chí Minh,Gò Vấp,I-Home 1,"Dự án I-Home 1, Quận Gò Vấp, Hồ Chí Minh",10.851344,106.65334,1840000000.0,63,2,2,,,,,,Không nội thất,Hợp đồng mua bán
Hồ Chí Minh,Phú Nhuận,Golden Mansion,"Dự án Golden Mansion, Đường Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh",10.8087224960327,106.670425415039,4179999999.9999995,69,2,2,,,,,,Đầy đủ,
Hồ Chí Minh,Quận 10,Xi Grand Court,"Dự án Xi Grand Court, Phố Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh",10.7676010131836,106.659408569336,20000000000.0,300,3,4,,,,,,,
Hồ Chí Minh,Thủ Đức,Chương Dương Home,"Chương Dương Home, 34, Đường 12, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",10.8369522094727,106.756462097168,1150000000.0,44,1,1,,,,Đông - Bắc,,,Đang chờ sổ
Hồ Chí Minh,Tân Bình,Park Legend,"Dự án Park Legend, Đường Hoàng Văn Thụ, Phường 2, Tân Bình, Hồ Chí Minh",10.800010681152344,106.66071319580078,4099999999.9999995,65,2,,,,,,,,
